@relation Act_Set_1

@attribute feature1 numeric
@attribute feature2 numeric
@attribute feature3 numeric
@attribute feature4 numeric
@attribute feature5 numeric
@attribute feature6 numeric
@attribute feature7 numeric
@attribute feature8 numeric
@attribute feature9 numeric
@attribute feature10 numeric
@attribute Activation {1,-1}

@data
229.052022,258.45789,63.797156,394.604613,11618.001828,7592.917958,0.693333,0.027738,0.038598,0.862631,1
137.664576,214.893406,16.234644,259.34716,26109.949909,17057.800157,0.608724,-0.036651,0.025681,0.731465,-1
56.417088,79.565235,15.665755,97.220374,10512.785724,6876.261182,0.539753,-0.02094,0.032586,0.859728,-1
247.943028,220.418693,85.269854,410.815179,6769.470389,4712.995098,0.576047,0.010002,0.071485,0.801067,-1
91.816412,93.230271,38.785573,144.920547,13430.954492,8774.081892,0.62802,-0.037388,0.05857,0.773955,-1
123.39368,79.039409,65.753314,181.08727,13485.578503,8811.931605,0.640803,-0.024762,0.085993,0.941376,1
62.245682,69.635915,19.248564,105.291286,15123.565925,9875.820836,0.592579,-0.035153,0.082171,0.720935,-1
214.596507,182.304543,94.699688,334.650119,13528.042185,8874.607859,0.547699,0.024199,0.046136,0.806753,1
328.965051,260.81796,134.901415,523.220107,14495.448306,9471.15542,0.517937,0.007518,0.07572,0.968559,-1
59.625891,75.695474,15.652822,103.663376,15282.016376,9968.391734,0.575555,-0.012916,0.038467,0.851428,-1
79.293591,63.316562,37.22952,121.406027,9742.859706,6375.878033,0.648154,-0.011681,0.049879,0.835429,1
414.063915,304.63134,217.108352,611.398174,19842.425318,12945.999972,0.574866,0.010393,0.026619,0.789414,1
133.926443,190.351664,27.723252,240.286116,24619.732058,16009.552858,0.61051,-0.019259,0.049089,0.840255,-1
58.612769,45.723978,25.077636,92.188638,13402.894491,8740.55704,0.611051,-0.022529,0.054747,0.842233,1
462.280584,437.176871,165.790387,759.145338,21096.99031,13770.568559,0.598511,0.024407,0.059373,0.89627,1
179.982053,180.795237,55.488305,304.693822,10696.213373,7097.332062,0.574338,-0.009708,0.056921,0.746698,-1
122.792755,105.537723,41.403218,204.335496,11961.333523,7835.366498,0.518981,-0.002688,0.052063,0.875663,-1
157.810859,112.932043,77.040833,238.66593,21158.030177,13827.343384,0.595178,-0.010339,0.038454,0.725648,-1
181.745909,195.776301,56.800166,306.907234,8967.258282,5852.652377,0.486714,0.00479,0.061159,0.921952,-1
346.410329,270.312362,142.155773,550.833798,8671.625068,5696.772928,0.609313,-0.037743,0.054432,0.731022,-1
195.852108,162.694478,75.682877,316.181021,21316.822162,14134.16207,0.532268,-0.035201,0.088233,0.869469,-1
229.349495,188.602578,100.385653,358.54968,14061.914675,9166.572564,0.570897,-0.043013,0.030936,0.781511,-1
106.094024,101.739166,38.837124,173.456496,11001.100442,7178.582362,0.576385,-0.022627,0.055222,0.857165,1
22.014275,25.301206,4.420429,39.648515,10483.122182,7274.055964,0.571304,0.017388,0.044793,0.751373,-1
366.879783,339.408667,161.088983,572.958037,17985.094369,11760.643056,0.570719,0.019107,0.039671,0.930347,1
136.2904,150.303531,46.956982,225.801897,8545.340323,5576.425688,0.573166,-0.018125,0.054587,0.925776,-1
334.448883,441.274629,44.916827,624.79596,13250.566693,8874.418323,0.662333,-0.053952,0.031943,0.822074,-1
197.34133,200.222739,46.32805,348.566506,17330.183633,11312.496044,0.519893,-0.017428,0.056808,0.898646,-1
269.688202,243.866443,106.257978,433.285516,14305.116052,9388.120066,0.573891,-0.032753,0.030858,0.93501,-1
402.832354,366.198429,118.215409,687.827574,13161.87173,8608.901934,0.552575,-0.003593,0.071881,0.912329,1
31.118636,31.533987,9.671825,52.592279,14613.00621,9901.445007,0.589431,0.008267,0.040229,0.849204,1
