@relation 'Act_Set_1-weka.filters.unsupervised.attribute.Remove-R1-2,4-9,12-19,21-50,52-53,55-69,71-91,93-106,108,110-133,135-141,143-166'

@attribute feature3 numeric
@attribute feature10 numeric
@attribute feature11 numeric
@attribute feature20 numeric
@attribute feature51 numeric
@attribute feature54 numeric
@attribute feature70 numeric
@attribute feature92 numeric
@attribute feature107 numeric
@attribute feature109 numeric
@attribute feature134 numeric
@attribute feature142 numeric
@attribute Activation {1,-1}

@data
82.372706,1.021383,1.299008,0.080002,0.603449,0.360686,2.337108,0.796641,4.828803,4.150874,-0.335467,-7.29141,1
89.789168,1.032962,0.625541,0.037027,0.590485,0.302812,2.139462,0.433648,4.153897,3.760131,-0.348876,-6.675885,1
6.764302,0.762558,2.313922,0.133209,0.407231,0.270335,2.355148,0.294378,4.025804,4.137605,-0.723252,-4.477795,-1
18.43566,0.843179,1.449632,-0.141202,0.623864,0.316657,2.212426,0.601455,4.629887,3.961449,-0.589009,-6.990076,-1
26.790206,0.691106,1.905291,0.029386,0.56247,0.351462,2.285219,0.697815,4.224065,4.042373,-0.628106,-6.399999,-1
67.100297,0.953014,1.099233,0.048443,0.556253,0.336914,2.510543,0.438254,4.759437,4.367596,-0.489909,-7.551736,-1
1.216371,0.3925,2.188912,-0.021248,0.395925,0.347824,2.104641,0.774939,3.83057,3.758616,-0.684596,-4.335122,-1
239.498967,0.850611,0.783483,-0.076336,0.485511,0.291649,2.33411,0.707825,4.632876,4.015862,-0.350634,-6.029561,-1
42.917965,0.933157,1.551816,-0.018559,0.568909,0.389748,2.330061,0.533475,4.387106,4.168368,-0.453536,-6.104626,1
0.177194,0.42557,0.609185,-0.179501,0.395137,0.331284,2.224131,0.736274,3.695821,3.84851,-0.52937,-4.252118,-1
189.377629,0.932917,-0.02166,0.137921,0.383955,0.258981,2.241068,0.506108,4.162239,4.143338,-0.354673,-5.041793,1
1.833609,0.590018,1.925717,-0.051021,0.492587,0.312688,1.797248,0.923413,3.616939,3.141758,-0.215556,-5.276969,-1
55.225202,0.871198,1.054982,-0.141108,0.543271,0.321587,2.413577,0.65802,4.578019,4.130865,-0.32444,-6.916562,1
46.480953,0.876154,0.84139,-0.045371,0.407282,0.244013,2.307239,0.757443,4.388489,3.97457,-0.679602,-5.992107,1
62.111834,0.949728,1.338412,0.10884,0.605746,0.347172,2.316188,0.780695,4.647408,4.116983,-0.323572,-7.345079,-1
52.274437,0.900057,1.004724,0.066747,0.50336,0.304623,2.164713,0.914505,4.029535,3.85421,-0.551715,-6.996124,1
119.935988,0.967341,0.825793,0.066012,0.544207,0.305341,2.191314,0.605793,4.069405,3.828226,-0.456594,-6.250393,1
49.11969,0.899215,1.178292,0.015298,0.632308,0.323893,2.348812,0.467152,4.254074,4.270563,-0.476936,-5.722432,-1
35.812301,0.657386,2.360394,-0.04316,0.617125,0.341009,2.544038,0.748479,5.424629,4.392565,-0.505009,-6.764493,-1
159.358424,1.049433,1.383705,0.122868,0.484209,0.276484,2.175439,0.420039,4.269721,3.993257,-0.261091,-5.750879,1
91.335323,0.963304,0.473406,0.144995,0.564822,0.410295,2.158475,0.351998,3.975128,3.891449,-0.454327,-5.682274,1
56.827401,0.978412,0.442183,0.074526,0.47653,0.305884,2.526194,0.589299,3.712012,4.553092,-0.309295,-5.705629,1
